Age,????????,?????? ????????????,????????????? ????? ? jira,Department,DistanceFromHome,Education,EducationField,???????????,????? ??????????,????????????????? ?????????,Gender,HourlyRate,??????? ?????????????,??????? ??????????,JobRole,JobSatisfaction,???????? ?????????,??????? ????? ?? ????,?????? 18,?????? ??????,????  ???????? ?? ???????? ??? %,??????? ????????????,??????? ??????????,????????? ????? ? ??????,????? ???? ??????,?????????? ?????????? ????????? ? ????????,?????? ??????? ????? ? ??????,?????? ? ???
53,No,??,661,?????????????,7,2,???????,1,862,1,???????,78,2,3,???????? ?????????????,4,???????/?????,10934,Y,Yes,18,3,4,40,35,3,3,5
45,No,??,930,?????????????,9,3,???????,1,864,4,???????,74,3,3,???????? ?????????????,1,????????,10761,Y,Yes,12,3,3,40,18,2,3,5
44,No,??,986,??????????,8,4,????????,1,874,1,???????,62,4,1,Backend ???????????,4,???????/?????,2818,Y,Yes,24,4,3,40,10,2,2,3
42,No,???,1271,??????????,2,1,??????????,1,875,2,???????,35,3,1,Frontend ???????????,4,??????,2515,Y,Yes,14,3,4,40,8,2,3,2
25,No,??,141,?????????????,3,1,???????????? ??????/???,1,879,3,???????,98,3,2,???????? ?????????????,1,???????/?????,4194,Y,Yes,18,3,4,40,5,3,3,5
35,No,??,607,??????????,9,3,????????,1,840,4,???????,66,2,3,Team Leader,3,???????/?????,10685,Y,Yes,20,4,2,40,17,2,3,17
35,Yes,???,130,??????????,25,4,????????,1,881,4,???????,96,3,1,Frontend ???????????,2,????????,2022,Y,Yes,19,3,1,40,10,3,2,10
42,No,??,1265,??????????,3,3,????????,1,894,3,???????,95,4,2,Backend ???????????,4,???????/?????,5231,Y,Yes,13,3,2,40,17,1,2,5
31,No,??,1222,??????????,11,4,????????,1,895,4,???????,48,3,1,Frontend ???????????,4,???????/?????,2356,Y,Yes,19,3,2,40,8,2,3,6
29,Yes,??,341,?????????????,1,3,??????????,1,896,2,???????,48,2,1,????????????? Representative,3,????????,2400,Y,Yes,19,3,3,40,5,3,3,3
47,No,??,249,?????????????,2,2,???????,1,903,3,???????,35,3,2,???????? ?????????????,4,???????/?????,4537,Y,Yes,22,4,1,40,8,2,3,7
37,No,???,1252,?????????????,19,2,??????????,1,904,1,???????,32,3,3,???????? ?????????????,2,??????,7642,Y,Yes,13,3,4,40,10,2,3,10
33,No,??,1075,????????????,3,2,????????????,1,910,4,???????,57,3,1,??????/????????? ???????,2,????????,2277,Y,Yes,11,3,3,40,7,4,4,4
32,Yes,??,374,??????????,25,4,????????,1,911,1,???????,87,3,1,Backend ???????????,4,??????,2795,Y,Yes,24,4,3,40,1,2,1,1
44,No,??,661,??????????,9,2,????????,1,913,2,???????,61,3,1,Frontend ???????????,1,???????/?????,2559,Y,Yes,13,3,4,40,8,0,3,8
58,Yes,???,781,??????????,2,1,????????,1,918,4,???????,57,2,1,Backend ???????????,4,????????,2340,Y,Yes,14,3,4,40,3,3,2,1
36,No,??,1425,??????????,14,1,????????,1,924,3,???????,68,3,2,??????,4,???????/?????,6586,Y,Yes,17,3,1,40,17,2,2,16
47,No,??,1454,?????????????,2,4,????????,1,925,4,???????,65,2,1,????????????? Representative,4,??????,3294,Y,Yes,18,3,1,40,3,3,2,3
22,Yes,??,617,??????????,3,1,????????,1,926,2,???????,34,3,2,Team Leader,3,???????/?????,4171,Y,Yes,19,3,1,40,4,3,4,3
41,Yes,??,1085,??????????,2,4,????????,1,927,2,???????,57,1,1,Backend ???????????,4,????????,2778,Y,Yes,13,3,3,40,10,1,2,7
39,Yes,??,1122,??????????,6,3,??????????,1,932,4,???????,70,3,1,Backend ???????????,1,???????/?????,2404,Y,Yes,21,4,4,40,8,2,1,2
33,No,??,1198,??????????,1,4,???????????? ??????/???,1,939,3,???????,100,2,1,Frontend ???????????,1,??????,2799,Y,Yes,11,3,2,40,6,1,3,3
58,No,??,1272,??????????,5,3,??????? ?.?.?,1,940,3,???????,37,2,3,??????,2,????????,10552,Y,Yes,13,3,4,40,24,3,3,6
35,No,??,1137,??????????,21,1,????????,1,942,4,???????,51,3,2,??????,4,???????/?????,4014,Y,Yes,25,4,4,40,10,2,1,10
25,Yes,??,867,?????????????,19,2,???????,1,952,3,???????,36,2,1,????????????? Representative,2,???????/?????,2413,Y,Yes,18,3,3,40,1,2,3,1
41,No,??,263,??????????,6,3,??????????,1,957,4,???????,59,3,1,Backend ???????????,1,??????,4721,Y,Yes,13,3,3,40,20,3,3,18
19,Yes,??,419,?????????????,21,3,???????????? ??????/???,1,959,4,???????,37,2,1,????????????? Representative,2,??????,2121,Y,Yes,13,3,2,40,1,3,4,1
31,No,??,616,??????????,12,3,??????????,1,961,4,???????,41,3,2,??????,4,???????/?????,5855,Y,Yes,11,3,3,40,10,2,1,9
40,No,???,1469,??????????,9,4,??????????,1,964,4,???????,35,3,1,Frontend ???????????,2,????????,3617,Y,Yes,14,3,4,40,3,2,3,1
36,Yes,??,530,?????????????,3,1,????????,1,967,3,???????,51,2,3,???????? ?????????????,4,???????/?????,10325,Y,Yes,11,3,1,40,16,6,3,16
38,No,???,152,?????????????,10,3,??????? ?.?.?,1,983,3,???????,85,3,2,???????? ?????????????,4,??????,5666,Y,Yes,13,3,2,40,6,1,3,5
40,Yes,???,1479,?????????????,24,3,????????,1,986,2,???????,100,4,4,???????? ?????????????,2,??????,13194,Y,Yes,16,3,4,40,22,2,2,1
47,No,???,1379,??????????,16,4,??????????,1,987,3,???????,64,4,2,Team Leader,3,????????,5067,Y,Yes,19,3,3,40,20,3,4,19
31,Yes,???,335,??????????,9,2,??????????,1,991,3,???????,46,2,1,Frontend ???????????,1,??????,2321,Y,Yes,22,4,1,40,4,0,3,3
29,Yes,??,906,??????????,10,3,????????,1,994,4,???????,92,2,1,Frontend ???????????,1,??????,2404,Y,Yes,20,4,3,40,3,5,3,0
33,No,???,827,??????????,1,4,???????????? ??????/???,1,998,3,???????,84,4,2,??????,2,???????/?????,5488,Y,Yes,13,3,1,40,6,2,3,6
45,No,???,248,??????????,23,2,????????,1,1002,4,???????,42,3,2,Backend ???????????,1,???????/?????,3633,Y,Yes,15,3,3,40,9,2,3,9
47,No,??,955,?????????????,4,2,????????,1,1003,4,???????,83,3,2,???????? ?????????????,4,??????,4163,Y,Yes,17,3,3,40,9,0,3,9
30,Yes,??,138,??????????,22,3,????????,1,1004,1,???????,48,3,1,Frontend ???????????,3,???????/?????,2132,Y,Yes,11,3,2,40,7,2,3,5
50,No,??,939,??????????,24,3,????????,1,1005,4,???????,95,3,4,Team Leader,3,???????/?????,13973,Y,Yes,18,3,4,40,22,2,3,12
35,Yes,??,622,??????????,14,4,???????????? ??????/???,1,1010,3,???????,39,2,1,Backend ???????????,2,????????,3743,Y,Yes,24,4,4,40,5,2,1,4
35,No,??,583,??????????,25,4,??????????,1,1014,3,???????,57,3,3,??????,3,????????,10388,Y,Yes,11,3,3,40,16,3,2,16
30,No,??,153,??????????,8,2,????????,1,1015,2,???????,73,4,3,???????????? ??????,1,???????/?????,11416,Y,Yes,12,3,3,40,9,4,2,8
20,Yes,??,1097,??????????,11,3,??????????,1,1016,4,???????,98,2,1,Frontend ???????????,1,??????,2600,Y,Yes,15,3,1,40,1,2,3,1
59,No,??,715,??????????,2,3,????????,1,1032,3,???????,69,2,4,Team Leader,4,??????,13726,Y,Yes,13,3,1,40,30,4,3,5
55,No,???,135,??????????,18,4,??????????,1,1034,3,???????,62,3,2,??????,2,???????/?????,6385,Y,Yes,14,3,4,40,17,3,3,8
38,No,??,1035,?????????????,3,4,????????,1,1036,2,???????,42,3,2,???????? ?????????????,4,??????,6861,Y,Yes,12,3,3,40,19,1,3,1
44,No,??,1448,?????????????,28,3,??????????,1,1039,4,???????,53,4,4,???????? ?????????????,4,???????/?????,13320,Y,Yes,18,3,3,40,23,2,3,12
39,No,???,945,??????????,22,3,??????????,1,1043,4,???????,82,3,3,Team Leader,1,??????,10840,Y,Yes,13,3,3,40,21,2,3,21
59,No,??,1089,?????????????,1,2,??????? ?.?.?,1,1048,2,???????,66,3,3,???????? ???????,4,???????/?????,11904,Y,Yes,14,3,3,40,14,1,1,6
26,Yes,???,342,??????????,2,3,????????,1,1053,1,???????,57,3,1,Frontend ???????????,1,???????/?????,2042,Y,Yes,14,3,2,40,6,2,3,3
34,No,??,1333,?????????????,10,4,????????,1,1055,3,???????,87,3,1,????????????? Representative,3,???????/?????,2220,Y,Yes,19,3,4,40,1,2,3,1
50,No,??,1464,??????????,2,4,??????????,1,1061,2,???????,62,3,5,???????????? ??????,3,???????/?????,19237,Y,Yes,11,3,4,40,29,2,2,8
20,Yes,???,769,?????????????,9,3,???????,1,1077,4,???????,54,3,1,????????????? Representative,4,??????,2323,Y,Yes,14,3,2,40,2,3,3,2
46,No,??,1003,??????????,8,4,????????,1,1040,4,???????,74,2,2,Frontend ???????????,1,????????,4615,Y,Yes,23,4,1,40,19,2,3,16
51,Yes,??,1323,??????????,4,4,????????,1,1081,1,???????,34,3,1,Frontend ???????????,3,???????/?????,2461,Y,Yes,12,3,3,40,18,2,4,10
35,Yes,??,1204,?????????????,4,3,??????? ?.?.?,1,1100,4,???????,86,3,3,???????? ?????????????,1,??????,9582,Y,Yes,22,4,1,40,9,2,3,8
37,No,??,309,?????????????,10,4,????????,1,1105,4,???????,88,2,2,???????? ?????????????,4,????????,6694,Y,Yes,14,3,3,40,8,5,3,1
25,Yes,??,1219,??????????,4,1,??????? ?.?.?,1,1106,4,???????,32,3,1,Backend ???????????,4,???????/?????,3691,Y,Yes,15,3,2,40,7,3,4,7
33,Yes,??,1017,??????????,25,3,??????????,1,1108,1,???????,55,2,1,Frontend ???????????,2,??????,2313,Y,Yes,20,4,2,40,5,0,3,2
50,Yes,???,959,?????????????,1,4,???????????? ??????/???,1,1113,4,???????,81,3,2,???????? ?????????????,3,??????,4728,Y,Yes,14,3,4,40,5,4,3,0
38,No,??,770,?????????????,10,4,???????,1,1119,3,???????,73,2,3,???????? ?????????????,3,????????,8740,Y,Yes,14,3,2,40,9,2,3,8
21,No,??,984,??????????,1,1,??????? ?.?.?,1,1131,4,???????,70,2,1,Frontend ???????????,2,??????,2070,Y,Yes,11,3,3,40,2,6,4,2
29,No,??,718,??????????,8,1,??????????,1,1150,2,???????,79,2,2,Team Leader,4,???????/?????,5056,Y,Yes,15,3,3,40,10,2,2,10
28,No,???,773,??????????,6,3,????????,1,1154,3,???????,39,2,1,Frontend ???????????,3,????????,2703,Y,Yes,14,3,4,40,3,2,3,3
33,Yes,??,603,?????????????,9,4,???????,1,1157,1,???????,77,3,2,???????? ?????????????,1,??????,8224,Y,Yes,17,3,1,40,6,3,3,5
41,No,??,167,??????????,12,4,????????,1,1158,2,???????,46,3,1,Backend ???????????,4,???????/?????,4766,Y,Yes,11,3,1,40,6,4,3,1
42,Yes,???,481,?????????????,12,3,????????,1,1167,3,???????,44,3,4,???????? ?????????????,1,??????,13758,Y,Yes,12,3,2,40,22,2,2,21
28,Yes,??,1485,??????????,12,1,????????,1,1175,3,???????,79,3,1,Backend ???????????,4,???????/?????,2515,Y,Yes,11,3,4,40,1,4,2,1
40,No,???,902,??????????,26,2,??????????,1,1140,3,???????,92,2,2,Frontend ???????????,4,???????/?????,4422,Y,Yes,13,3,4,40,16,3,1,1
45,No,??,1457,??????????,7,3,??????????,1,1195,1,???????,83,3,1,Frontend ???????????,3,???????/?????,4477,Y,Yes,19,3,3,40,7,2,2,3
44,Yes,??,1097,??????????,10,4,????????,1,1200,3,???????,96,3,1,Frontend ???????????,3,??????,2936,Y,Yes,11,3,3,40,6,4,3,6
29,No,??,942,??????????,15,1,????????,1,1202,2,???????,69,1,1,Frontend ???????????,4,???????/?????,2168,Y,Yes,18,3,1,40,6,2,2,5
22,Yes,???,1256,??????????,3,4,????????,1,1203,3,???????,48,2,1,Frontend ???????????,4,???????/?????,2853,Y,Yes,11,3,2,40,1,5,3,0
35,No,??,1361,?????????????,17,4,????????,1,1218,3,???????,94,3,2,???????? ?????????????,1,???????/?????,8966,Y,Yes,15,3,4,40,15,2,3,7
60,No,??,696,?????????????,7,4,???????,1,1233,2,???????,52,4,2,???????? ?????????????,4,????????,5220,Y,Yes,18,3,2,40,12,3,3,11
32,No,???,1316,??????????,2,2,????????,1,1235,4,???????,38,3,2,Frontend ???????????,3,??????,4998,Y,Yes,14,3,4,40,10,2,3,8
36,No,??,363,??????????,1,3,??????? ?.?.?,1,1237,3,???????,77,1,3,Team Leader,1,????????,10252,Y,Yes,21,4,3,40,17,2,3,7
30,No,??,1465,??????????,1,3,??????????,1,1241,4,???????,63,3,1,Frontend ???????????,2,???????/?????,3579,Y,Yes,21,4,1,40,12,2,3,11
42,No,???,458,??????????,26,5,??????????,1,1242,1,???????,60,3,3,???????????? ??????,1,???????/?????,13191,Y,Yes,17,3,3,40,20,6,3,1
35,No,???,1212,?????????????,8,2,???????,1,1243,3,???????,78,2,3,???????? ?????????????,4,???????/?????,10377,Y,Yes,11,3,2,40,16,6,2,13
27,No,??,1103,??????????,14,3,????????,1,1244,1,???????,42,3,1,Frontend ???????????,1,???????/?????,2235,Y,Yes,14,3,4,40,9,3,2,9
19,Yes,???,504,??????????,10,3,??????????,1,1248,1,???????,96,2,1,Frontend ???????????,2,??????,1859,Y,Yes,25,4,2,40,1,2,4,1
31,No,??,1332,??????????,11,2,??????????,1,1251,3,???????,40,3,2,??????,1,???????/?????,6833,Y,Yes,12,3,4,40,6,2,2,6
29,No,??,1329,??????????,7,3,????????,1,1260,3,???????,82,3,2,??????,4,????????,6623,Y,Yes,11,3,2,40,6,2,3,6
33,No,??,536,?????????????,10,5,???????,1,1268,4,???????,82,4,3,???????? ?????????????,3,????????,8340,Y,Yes,14,3,4,40,10,3,3,9
19,No,??,265,??????????,25,3,????????,1,1269,2,???????,57,4,1,Frontend ???????????,4,??????,2994,Y,Yes,12,3,4,40,1,2,3,1
25,Yes,???,599,?????????????,24,1,????????,1,1273,3,???????,73,1,1,????????????? Representative,4,??????,1118,Y,Yes,14,3,4,40,1,4,3,1
26,No,??,583,??????????,4,2,????????,1,1275,3,???????,53,3,1,Frontend ???????????,4,??????,2875,Y,Yes,20,4,2,40,8,2,2,8
45,Yes,??,1449,?????????????,2,3,???????,1,1277,1,???????,94,1,5,???????? ???????,2,??????,18824,Y,Yes,16,3,1,40,26,2,3,24
55,No,???,177,??????????,8,1,??????????,1,1278,4,???????,37,2,4,??????,2,????????,13577,Y,Yes,15,3,4,40,34,3,3,33
34,No,??,131,?????????????,2,3,???????,1,1281,3,???????,86,3,2,???????? ?????????????,1,??????,4538,Y,Yes,12,3,4,40,4,3,3,3
51,No,???,237,?????????????,9,3,????????,1,1282,4,???????,83,3,5,???????? ???????,2,????????,19847,Y,Yes,24,4,1,40,31,5,2,29
28,No,???,791,??????????,1,4,??????????,1,1286,4,???????,44,3,1,Backend ???????????,3,??????,2154,Y,Yes,11,3,3,40,5,2,2,4
35,No,??,735,??????????,6,1,????????,1,1291,3,???????,66,3,1,Frontend ???????????,3,???????/?????,3506,Y,Yes,14,3,4,40,4,3,3,3
42,No,??,603,??????????,7,4,??????????,1,1292,2,???????,78,4,2,Frontend ???????????,2,???????/?????,2372,Y,Yes,16,3,4,40,18,2,3,1
36,No,??,429,??????????,2,4,????????,1,1294,3,???????,53,3,2,Team Leader,2,??????,5410,Y,Yes,11,3,4,40,18,2,3,16
28,No,???,193,??????????,2,3,????????,1,1296,4,???????,52,2,1,Backend ???????????,4,???????/?????,3867,Y,Yes,12,3,2,40,2,2,3,2
30,No,???,879,??????????,9,2,??????????,1,1298,3,???????,72,3,2,Team Leader,3,??????,4695,Y,Yes,18,3,3,40,10,3,3,8
29,Yes,??,406,??????????,7,3,??????? ?.?.?,1,1299,2,???????,39,3,1,Backend ???????????,3,????????,3339,Y,Yes,13,3,1,40,10,2,3,7
39,No,??,412,??????????,13,4,??????????,1,1307,3,???????,94,2,4,???????? ???????,2,????????,17123,Y,Yes,13,3,4,40,21,4,3,19
50,No,??,1322,??????????,28,3,????????,1,1317,4,???????,43,3,4,???????????? ??????,1,???????/?????,16840,Y,Yes,11,3,2,40,25,2,3,3
40,Yes,??,299,?????????????,25,4,???????,1,1318,4,???????,57,2,3,???????? ?????????????,2,??????,9094,Y,Yes,12,3,3,40,9,2,3,5
52,Yes,??,1030,?????????????,5,3,????????,1,1319,2,???????,64,3,3,???????? ?????????????,2,??????,8446,Y,Yes,19,3,3,40,10,2,2,8
30,No,??,634,??????????,17,4,??????????,1,1321,2,???????,95,3,3,???????? ???????,1,???????/?????,11916,Y,Yes,23,4,4,40,9,2,3,9
31,No,???,587,?????????????,2,4,????????,1,1324,4,???????,57,3,3,???????? ?????????????,3,????????,9852,Y,Yes,19,3,1,40,10,5,2,10
31,Yes,???,1060,?????????????,1,3,????????,1,1331,4,???????,54,3,1,????????????? Representative,2,??????,2302,Y,Yes,11,3,1,40,3,2,4,3
42,No,???,495,??????????,2,1,????????,1,1334,3,???????,37,3,4,???????? ???????,3,???????/?????,17861,Y,Yes,13,3,4,40,21,3,2,20
35,No,???,482,??????????,4,4,????????,1,1350,3,???????,87,3,2,Frontend ???????????,3,??????,4249,Y,Yes,11,3,2,40,9,3,3,9
51,No,??,770,????????????,5,3,????????,1,1352,3,???????,84,3,4,??????/????????? ???????,2,????????,14026,Y,Yes,11,3,2,40,33,2,3,33
58,Yes,??,601,??????????,7,4,??????????,1,1360,3,???????,53,2,3,Team Leader,1,???????/?????,10008,Y,Yes,14,3,4,40,31,0,2,10
55,Yes,??,267,?????????????,13,4,???????,1,1372,1,???????,85,4,4,???????? ?????????????,3,??????,13695,Y,Yes,17,3,3,40,24,2,2,19
56,No,??,1369,??????????,23,3,????????,1,1373,4,???????,68,3,4,Team Leader,2,???????/?????,13402,Y,Yes,12,3,1,40,33,0,3,19
35,Yes,???,662,?????????????,18,4,???????,1,1340,4,???????,67,3,2,???????? ?????????????,3,???????/?????,4614,Y,Yes,18,3,3,40,5,0,2,4
31,Yes,??,330,??????????,22,4,??????????,1,1389,4,???????,98,3,2,Team Leader,3,???????/?????,6179,Y,Yes,15,3,4,40,10,3,2,10
39,No,??,1498,?????????????,21,4,????????,1,1390,1,???????,44,2,2,???????? ?????????????,4,???????/?????,6120,Y,Yes,12,3,4,40,8,2,4,5
41,No,???,1200,??????????,22,3,????????,1,1392,4,???????,75,3,2,Frontend ???????????,4,????????,5467,Y,Yes,14,3,1,40,12,4,2,6
37,No,??,1439,??????????,4,1,????????,1,1394,3,???????,54,3,1,Frontend ???????????,3,???????/?????,2996,Y,Yes,15,3,4,40,8,2,3,6
32,No,??,499,?????????????,2,1,???????,1,1396,3,???????,36,3,2,???????? ?????????????,2,???????/?????,4078,Y,Yes,13,3,1,40,4,3,2,3
52,No,???,322,??????????,28,2,??????????,1,1401,4,???????,59,4,4,Team Leader,3,???????/?????,13247,Y,Yes,11,3,2,40,24,3,2,5
43,No,??,930,??????????,6,3,??????????,1,1402,1,???????,73,2,2,Frontend ???????????,3,??????,4081,Y,Yes,14,3,1,40,20,3,1,20
27,No,??,205,?????????????,10,3,???????,1,1403,4,???????,98,2,2,???????? ?????????????,4,???????/?????,5769,Y,Yes,11,3,4,40,6,3,3,6
27,Yes,??,135,??????????,17,4,????????,1,1405,4,???????,51,3,1,Frontend ???????????,3,??????,2394,Y,Yes,13,3,4,40,8,2,3,8
29,Yes,???,337,??????????,14,1,???????????? ??????/???,1,1421,3,???????,84,3,3,??????,4,??????,7553,Y,Yes,12,3,1,40,9,1,3,8
58,No,??,1055,??????????,1,3,??????????,1,1423,4,???????,76,3,5,???????????? ??????,1,???????/?????,19701,Y,Yes,21,4,3,40,32,3,3,9
36,No,??,1174,?????????????,3,4,???????,1,1425,1,???????,99,3,2,???????? ?????????????,2,??????,9278,Y,Yes,16,3,4,40,15,3,3,5
24,No,??,1476,?????????????,4,1,??????????,1,1445,4,???????,42,3,2,???????? ?????????????,3,???????/?????,4162,Y,Yes,12,3,3,40,5,3,3,5
41,No,??,1283,??????????,5,5,??????????,1,1448,2,???????,90,4,1,Frontend ???????????,3,???????/?????,2127,Y,Yes,12,3,1,40,7,5,2,4
39,Yes,???,592,??????????,2,3,????????,1,1458,1,???????,54,2,1,Backend ???????????,1,??????,3646,Y,Yes,23,4,2,40,11,2,4,1
45,No,??,1038,??????????,20,3,??????????,1,1460,2,???????,95,1,3,??????,1,????????,10851,Y,Yes,18,3,2,40,24,2,3,7
31,Yes,???,523,??????????,2,3,????????,1,1464,2,???????,94,3,1,Backend ???????????,4,???????/?????,3722,Y,Yes,13,3,3,40,7,2,1,2
45,No,??,1448,??????????,29,3,??????? ?.?.?,1,1465,2,???????,55,3,3,Team Leader,4,???????/?????,9340,Y,Yes,18,3,4,40,10,4,4,3
34,Yes,??,790,?????????????,24,4,??????????,1,1489,1,???????,40,2,2,???????? ?????????????,2,??????,4599,Y,Yes,23,4,3,40,16,2,4,15
24,Yes,???,381,??????????,9,3,??????????,1,1494,2,???????,89,3,1,Backend ???????????,1,??????,3172,Y,Yes,11,3,3,40,4,2,2,0
44,No,???,1193,??????????,2,1,??????????,1,1496,2,???????,86,3,3,Team Leader,3,??????,10209,Y,Yes,18,3,2,40,16,2,2,2
55,No,??,1229,??????????,4,4,????????,1,1501,4,???????,30,3,2,??????,3,???????/?????,4035,Y,Yes,16,3,2,40,4,2,3,3
47,No,??,571,?????????????,14,3,??????????,1,1503,3,???????,78,3,2,???????? ?????????????,3,???????/?????,4591,Y,Yes,17,3,3,40,11,4,2,5
33,No,??,516,??????????,8,5,????????,1,1515,4,???????,69,3,2,??????,3,??????,6388,Y,Yes,17,3,1,40,14,6,3,0
34,No,??,971,?????????????,1,3,??????? ?.?.?,1,1535,4,???????,64,2,3,???????? ?????????????,3,???????/?????,7083,Y,Yes,14,3,4,40,10,3,3,10
50,No,???,333,??????????,22,5,??????????,1,1539,3,???????,88,1,4,???????????? ??????,4,??????,14411,Y,Yes,13,3,4,40,32,2,3,32
34,No,??,1440,?????????????,7,2,??????? ?.?.?,1,1541,2,???????,55,3,1,????????????? Representative,3,???????/?????,2308,Y,Yes,25,4,2,40,12,4,3,11
42,No,???,288,??????????,2,3,????????,1,1547,4,???????,40,3,3,??????,4,???????/?????,10124,Y,Yes,14,3,3,40,24,3,1,20
33,No,??,589,??????????,28,4,????????,1,1549,2,???????,79,3,2,Backend ???????????,3,???????/?????,5207,Y,Yes,12,3,2,40,15,3,3,15
40,No,??,898,????????????,6,2,??????????,1,1550,3,???????,38,3,4,??????/????????? ???????,4,??????,16437,Y,Yes,21,4,4,40,21,2,3,21
40,No,???,1142,??????????,8,2,????????,1,1552,4,???????,72,3,2,??????,4,????????,4069,Y,Yes,18,3,3,40,8,2,3,2
36,No,??,1157,?????????????,2,4,????????,1,1556,3,???????,70,3,1,????????????? Representative,4,??????,2644,Y,Yes,21,4,4,40,7,3,2,3
35,Yes,??,104,??????????,2,3,????????,1,1569,1,???????,69,3,1,Backend ???????????,1,????????,2074,Y,Yes,12,3,4,40,1,2,3,1
29,No,??,1370,??????????,3,1,??????????,1,1586,2,???????,87,3,1,Backend ???????????,1,??????,4723,Y,Yes,18,3,4,40,10,3,3,10
35,No,??,670,??????????,10,4,??????????,1,1587,1,???????,51,3,2,??????,3,??????,6142,Y,Yes,16,3,3,40,10,4,3,5
50,No,??,264,?????????????,9,3,???????,1,1591,3,???????,59,3,5,???????? ???????,3,???????/?????,19331,Y,Yes,16,3,3,40,27,2,3,1
36,No,???,1302,??????????,6,4,????????,1,1594,1,???????,40,4,2,Backend ???????????,1,???????/?????,5562,Y,Yes,13,3,4,40,9,3,3,3
28,Yes,??,329,??????????,24,3,??????????,1,1604,3,???????,51,3,1,Backend ???????????,2,???????/?????,2408,Y,Yes,17,3,3,40,1,3,3,1
22,No,???,457,??????????,26,2,???????????? ??????/???,1,1605,2,???????,85,2,1,Frontend ???????????,3,???????/?????,2814,Y,Yes,14,3,2,40,4,2,2,4
50,No,???,1234,??????????,20,5,??????????,1,1606,2,???????,41,3,4,??????,3,???????/?????,11245,Y,Yes,15,3,3,40,32,3,3,30
44,No,??,1313,??????????,7,3,??????????,1,1608,2,???????,31,3,5,???????????? ??????,4,????????,19049,Y,Yes,14,3,4,40,23,4,2,22
45,No,??,1015,??????????,5,5,??????????,1,1611,3,???????,50,1,2,Backend ???????????,1,??????,5769,Y,Yes,14,3,1,40,10,3,3,10
36,No,??,559,??????????,12,4,????????,1,1614,3,???????,76,3,2,Team Leader,3,???????/?????,4663,Y,Yes,12,3,2,40,7,2,3,3
18,Yes,???,544,?????????????,3,2,??????????,1,1624,2,???????,70,3,1,????????????? Representative,4,??????,1569,Y,Yes,12,3,3,40,0,2,4,0
38,No,??,397,??????????,2,2,??????????,1,1638,4,???????,54,2,3,Team Leader,3,???????/?????,7756,Y,Yes,19,3,4,40,10,6,4,5
40,No,??,448,??????????,16,3,????????,1,1641,3,???????,84,3,3,Team Leader,4,??????,7945,Y,Yes,15,3,4,40,18,2,2,4
44,No,???,602,????????????,1,5,????????????,1,1642,1,???????,37,3,2,??????/????????? ???????,4,???????/?????,5743,Y,Yes,11,3,3,40,14,3,3,10
35,Yes,??,763,?????????????,15,2,??????????,1,1645,1,???????,59,1,2,???????? ?????????????,4,????????,5440,Y,Yes,14,3,4,40,7,2,2,2
24,No,???,567,??????????,2,1,??????? ?.?.?,1,1646,1,???????,32,3,1,Frontend ???????????,4,??????,3760,Y,Yes,13,3,3,40,6,2,3,6
40,Yes,??,1329,??????????,7,3,????????,1,1649,1,???????,73,3,1,Backend ???????????,1,??????,2166,Y,Yes,14,3,2,40,10,3,1,4
49,No,??,465,??????????,6,1,????????,1,1661,3,???????,41,2,4,??????,3,???????/?????,13966,Y,Yes,19,3,2,40,30,3,3,15
35,Yes,???,840,?????????????,12,4,???????????? ??????/???,1,1667,4,???????,36,3,2,???????? ?????????????,4,??????,4581,Y,Yes,24,4,1,40,13,2,4,11
29,No,??,991,?????????????,5,3,??????????,1,1669,1,???????,43,2,2,???????? ?????????????,2,????????,4187,Y,Yes,13,3,2,40,10,3,2,10
49,No,??,464,??????????,16,3,??????????,1,1674,4,???????,74,3,1,Backend ???????????,1,????????,2587,Y,Yes,16,3,2,40,17,2,2,2
41,No,??,1206,?????????????,23,2,????????,1,1678,4,???????,40,3,3,???????? ?????????????,3,??????,7082,Y,Yes,16,3,4,40,21,2,3,2
33,No,???,530,?????????????,16,3,????????,1,1681,3,???????,36,3,2,???????? ?????????????,4,????????,5368,Y,Yes,25,4,3,40,7,2,3,6
44,No,??,528,????????????,1,3,????????,1,1683,3,???????,44,3,1,??????/????????? ???????,4,????????,3195,Y,Yes,18,3,1,40,8,2,3,2
23,Yes,??,1320,??????????,8,1,??????????,1,1684,4,???????,93,2,1,Backend ???????????,3,??????,3989,Y,Yes,11,3,1,40,5,2,3,5
48,Yes,???,708,?????????????,7,2,??????????,1,1691,4,???????,95,3,1,????????????? Representative,3,???????/?????,2655,Y,Yes,11,3,3,40,19,3,3,9
23,Yes,??,427,?????????????,7,3,????????,1,1702,3,???????,99,3,1,????????????? Representative,4,????????,2275,Y,Yes,21,4,2,40,3,2,3,3
44,No,??,921,??????????,2,3,????????,1,1703,3,???????,96,4,3,??????,4,???????/?????,7879,Y,Yes,19,3,2,40,9,2,3,8
35,No,???,146,??????????,2,4,??????????,1,1704,1,???????,79,2,1,Frontend ???????????,4,??????,4930,Y,Yes,14,3,3,40,6,2,4,5
43,No,??,1179,?????????????,2,3,??????????,1,1706,4,???????,73,3,2,???????? ?????????????,4,???????/?????,7847,Y,Yes,17,3,1,40,10,3,3,10
40,No,??,369,??????????,8,2,????????,1,1724,2,???????,92,3,2,Team Leader,1,???????/?????,6516,Y,Yes,16,3,2,40,18,3,3,1
